 min, max u ice =  -3.0470186895203834E-003   3.0470195234237663E-003           1
 min, max u ice =  -6.0855341892791844E-003   6.0855366880150086E-003           2
 min, max u ice =  -9.1155800219468036E-003   9.1155850117170187E-003           3
 min, max u ice =  -1.2137189566000363E-002   1.2137197868305647E-002           4
 min, max u ice =  -1.5150396056353143E-002   1.5150408488018815E-002           5
 min, max u ice =  -1.8155232584980949E-002   1.8155249958182726E-002           6
 min, max u ice =  -2.1151732101545820E-002   2.1151755223835451E-002           7
 min, max u ice =  -2.4139927414017149E-002   2.4139957088347892E-002           8
 min, max u ice =  -2.7119851189290185E-002   2.7119888214042143E-002           9
 min, max u ice =  -3.0091535953801922E-002   3.0091581122807264E-002          10
 min, max u ice =  -3.3055014094144408E-002   3.3055068196712431E-002          11
 min, max u ice =  -3.6010317857675479E-002   3.6010381678617524E-002          12
 min, max u ice =  -3.8957479353126913E-002   3.8957553672781156E-002          13
 min, max u ice =  -4.1896530551210003E-002   4.1896616145466137E-002          14
 min, max u ice =  -4.4827503285218624E-002   4.4827600925542339E-002          15
 min, max u ice =  -4.7750429251629700E-002   4.7750539705087101E-002          16
 min, max u ice =  -5.0665340010701193E-002   5.0665464039983038E-002          17
 min, max u ice =  -5.3572266987067504E-002   5.3572405350513323E-002          18
 min, max u ice =  -5.6471241470332431E-002   5.6471394921954507E-002          19
 min, max u ice =  -5.9362294615659547E-002   5.9362463905166765E-002          20
 min, max u ice =  -6.2245457444360136E-002   6.2245643317181722E-002          21
 min, max u ice =  -6.5120760844478584E-002   6.5120964041787702E-002          22
 min, max u ice =  -6.7988235571375386E-002   6.7988456830112579E-002          23
 min, max u ice =  -7.0847912248307554E-002   7.0848152301204101E-002          24
 min, max u ice =  -7.3699821367006702E-002   7.3700080942607785E-002          25
 min, max u ice =  -7.6543993288254522E-002   7.6544273110942362E-002          26
 min, max u ice =  -7.9380458242456015E-002   7.9380759032472797E-002          27
 min, max u ice =  -8.2209246330210067E-002   8.2209568803680785E-002          28
 min, max u ice =  -8.5030387522877823E-002   8.5030732391832925E-002          29
 min, max u ice =  -8.7843911663148436E-002   8.7844279635546446E-002          30
 min, max u ice =  -9.0649848465602589E-002   9.0650240245352523E-002          31
 min, max u ice =  -9.3448227517273469E-002   9.3448643804257242E-002          32
 min, max u ice =  -9.6239078278205478E-002   9.6239519768300030E-002          33
